Model,Type,Bits,Depth,Accuracy,F1_Score,Precision,Recall,Inference_Time_s
Logistic Regression,Clear_Train,,,0.7205479452054795,0.6713652839307289,0.7027824620573356,0.6426368542791057,0.08299612998962402
SVM (Linear),Clear_Train,,,0.7044520547945206,0.6408655846858095,0.6962025316455697,0.5936777178103315,0.10377287864685059
Decision Tree,Clear_Train,,4,0.7852575488454707,0.7892626808436465,0.6970443349753694,0.9096022498995581,0.0005190372467041016
Decision Tree,Clear_Train,,5,0.8841918294849023,0.8633123689727463,0.9026742656729505,0.8272398553635998,0.0005359649658203125
Decision Tree,Clear_Train,,6,0.8941385435168739,0.8810853950518756,0.8751486325802615,0.8871032543190036,0.0004978179931640625
Decision Tree,Clear_Train,,7,0.9092362344582593,0.8947910232653902,0.917652027027027,0.8730413820811571,0.0005478858947753906
Decision Tree,Clear_Train,,8,0.9227353463587922,0.9117468046256847,0.9209016393442623,0.9027721976697469,0.0005638599395751953
Decision Tree,Clear_Train,,9,0.9410301953818828,0.9331991951710261,0.9347037484885127,0.9316994777018883,0.0009567737579345703
Decision Tree,Clear_Train,,10,0.9559502664298402,0.9498584714921149,0.9560439560439561,0.9437525110486139,0.0004799365997314453
Random Forest,Clear_Train,,4,0.8724689165186501,0.8532297628781684,0.8684977111943404,0.8384893531538771,0.011804819107055664
Random Forest,Clear_Train,,5,0.9017761989342806,0.8872579001019368,0.9006622516556292,0.8742466854158296,0.01405191421508789
Random Forest,Clear_Train,,6,0.9238010657193606,0.9131403118040089,0.9204081632653062,0.9059863398955403,0.023802995681762695
Random Forest,Clear_Train,,7,0.9358792184724689,0.9263716092188456,0.9407622203811102,0.9124146243471274,0.019472837448120117
Random Forest,Clear_Train,,8,0.9518650088809947,0.9449969555510452,0.9548810500410172,0.9353153877059059,0.019631147384643555
Random Forest,Clear_Train,,9,0.9607460035523979,0.955254100020247,0.9628571428571429,0.9477701888308557,0.021553993225097656
Random Forest,Clear_Train,,10,0.9742451154529307,0.9708190782853693,0.9725806451612903,0.9690638810767377,0.023217201232910156
Logistic Regression,Clear_Train,,,0.7205479452054795,0.6713652839307289,0.7027824620573356,0.6426368542791057,0.058465003967285156
SVM (Linear),Clear_Train,,,0.7044520547945206,0.6408655846858095,0.6962025316455697,0.5936777178103315,0.142927885055542
Decision Tree,Clear_Train,,4,0.7852575488454707,0.7892626808436465,0.6970443349753694,0.9096022498995581,0.0008399486541748047
Decision Tree,Clear_Train,,5,0.8841918294849023,0.8633123689727463,0.9026742656729505,0.8272398553635998,0.0009431838989257812
Decision Tree,Clear_Train,,6,0.8941385435168739,0.8810853950518756,0.8751486325802615,0.8871032543190036,0.0005011558532714844
Decision Tree,Clear_Train,,7,0.9092362344582593,0.8947910232653902,0.917652027027027,0.8730413820811571,0.0009090900421142578
Decision Tree,Clear_Train,,8,0.9227353463587922,0.9117468046256847,0.9209016393442623,0.9027721976697469,0.000530242919921875
Decision Tree,Clear_Train,,9,0.9410301953818828,0.9331991951710261,0.9347037484885127,0.9316994777018883,0.0004489421844482422
Decision Tree,Clear_Train,,10,0.9559502664298402,0.9498584714921149,0.9560439560439561,0.9437525110486139,0.0005741119384765625
Random Forest,Clear_Train,,4,0.8717584369449378,0.8512566955088586,0.8735729386892177,0.8300522298111691,0.012094974517822266
Random Forest,Clear_Train,,5,0.9104795737122557,0.8973941368078175,0.9096161782913743,0.8854961832061069,0.014138221740722656
Random Forest,Clear_Train,,6,0.9266429840142096,0.9160739687055477,0.9268092105263158,0.9055845721173162,0.01639699935913086
Random Forest,Clear_Train,,7,0.9383658969804618,0.9299131488588164,0.9350121852152722,0.9248694254720772,0.022670269012451172
Random Forest,Clear_Train,,8,0.9538188277087034,0.9472188388144539,0.9573245794009028,0.937324226597027,0.020093917846679688
Random Forest,Clear_Train,,9,0.9671403197158082,0.9627691688468505,0.964516129032258,0.9610285255122539,0.024785280227661133
Random Forest,Clear_Train,,10,0.9746003552397868,0.9711751662971175,0.9745145631067961,0.9678585777420651,0.023097991943359375
XGBoost,Clear_Train,,4,0.9946714031971581,0.9939662107803701,0.9951671365283931,0.9927681799919646,0.06250190734863281
XGBoost,Clear_Train,,5,0.9996447602131439,0.9995980707395499,1.0,0.9991964644435516,0.0631561279296875
XGBoost,Clear_Train,,6,1.0,1.0,1.0,1.0,0.07651591300964355
XGBoost,Clear_Train,,7,1.0,1.0,1.0,1.0,0.06297111511230469
XGBoost,Clear_Train,,8,1.0,1.0,1.0,1.0,0.06639909744262695
XGBoost,Clear_Train,,9,1.0,1.0,1.0,1.0,0.06534004211425781
XGBoost,Clear_Train,,10,1.0,1.0,1.0,1.0,0.06517505645751953
